boundary_id,date,bin,n
8_11,2024-12-22,1975,1
8_11,2025-01-12,-1975,0
8_11,2025-01-12,-1925,1
8_11,2025-01-12,-1875,0
8_11,2025-01-12,-1825,0
8_11,2025-01-12,-1775,0
8_11,2025-01-12,-1725,0
8_11,2025-01-12,-1675,0
8_11,2025-01-12,-1625,0
8_11,2025-01-12,-1575,0
8_11,2025-01-12,-1525,0
8_11,2025-01-12,-1475,0
8_11,2025-01-12,-1425,1
8_11,2025-01-12,-1375,0
8_11,2025-01-12,-1325,0
8_11,2025-01-12,-1275,0
8_11,2025-01-12,-1225,7
8_11,2025-01-12,-1175,0
8_11,2025-01-12,-1125,0
8_11,2025-01-12,-1075,0
8_11,2025-01-12,-1025,0
8_11,2025-01-12,-975,1
8_11,2025-01-12,-925,0
8_11,2025-01-12,-875,0
8_11,2025-01-12,-825,0
8_11,2025-01-12,-775,0
8_11,2025-01-12,-725,0
8_11,2025-01-12,-675,0
8_11,2025-01-12,-625,4
8_11,2025-01-12,-575,1
8_11,2025-01-12,-525,0
8_11,2025-01-12,-475,1
8_11,2025-01-12,-425,0
8_11,2025-01-12,-375,0
8_11,2025-01-12,-325,0
8_11,2025-01-12,-275,0
8_11,2025-01-12,-225,1
8_11,2025-01-12,-175,2
8_11,2025-01-12,-125,0
8_11,2025-01-12,-75,0
8_11,2025-01-12,-25,1
8_11,2025-01-12,25,0
8_11,2025-01-12,75,0
8_11,2025-01-12,125,1
8_11,2025-01-12,175,3
8_11,2025-01-12,225,0
8_11,2025-01-12,275,1
8_11,2025-01-12,325,0
8_11,2025-01-12,375,2
8_11,2025-01-12,425,1
8_11,2025-01-12,475,0
8_11,2025-01-12,525,0
8_11,2025-01-12,575,0
8_11,2025-01-12,625,1
8_11,2025-01-12,675,0
8_11,2025-01-12,725,1
8_11,2025-01-12,775,1
8_11,2025-01-12,825,0
8_11,2025-01-12,875,0
8_11,2025-01-12,925,3
8_11,2025-01-12,975,1
8_11,2025-01-12,1025,1
8_11,2025-01-12,1075,1
8_11,2025-01-12,1125,1
8_11,2025-01-12,1175,0
8_11,2025-01-12,1225,0
8_11,2025-01-12,1275,0
8_11,2025-01-12,1325,0
8_11,2025-01-12,1375,0
8_11,2025-01-12,1425,1
8_11,2025-01-12,1475,0
8_11,2025-01-12,1525,0
8_11,2025-01-12,1575,0
8_11,2025-01-12,1625,0
8_11,2025-01-12,1675,0
8_11,2025-01-12,1725,0
8_11,2025-01-12,1775,0
8_11,2025-01-12,1825,0
8_11,2025-01-12,1875,0
8_11,2025-01-12,1925,0
8_11,2025-01-12,1975,0
8_11,2025-01-15,-1975,1
8_11,2025-01-15,-1925,0
8_11,2025-01-15,-1875,0
8_11,2025-01-15,-1825,0
8_11,2025-01-15,-1775,1
8_11,2025-01-15,-1725,0
8_11,2025-01-15,-1675,0
8_11,2025-01-15,-1625,0
8_11,2025-01-15,-1575,0
8_11,2025-01-15,-1525,0
8_11,2025-01-15,-1475,0
8_11,2025-01-15,-1425,0
8_11,2025-01-15,-1375,0
8_11,2025-01-15,-1325,0
8_11,2025-01-15,-1275,0
8_11,2025-01-15,-1225,0
8_11,2025-01-15,-1175,0
8_11,2025-01-15,-1125,0
8_11,2025-01-15,-1075,0
8_11,2025-01-15,-1025,0
8_11,2025-01-15,-975,0
8_11,2025-01-15,-925,0
8_11,2025-01-15,-875,0
