crime_id,date,polygon_id,shift_id,treated,boundary_id,boundary_distance,running_var,treated_polygon_id,control_polygon_id,x_magna_m,y_magna_m,is_duplicate_record,in_estimation_sample,within_distance_screen,treated_side,abs_distance_m,log_distance_m,distance_km
SUR-00407908-25,2025-03-07,9,2,0,8_9,321.8393170276892,321.8393170276892,8,9,999405.0453369776,1009780.3939168648,0,1,1,control,321.8393170276892,5.777154728940643,0.3218393170276892
SUR-00485880-25,2025-03-18,9,2,0,9_10,542.6724524621718,542.6724524621718,10,9,999399.6466145052,1009794.4787472992,0,1,1,control,542.6724524621718,6.298346956070719,0.5426724524621718
SUR-00670181-25,2025-04-13,9,2,1,8_9,503.4856423843884,-503.4856423843884,9,8,999278.1074524444,1009911.568091246,0,1,1,treated,503.4856423843884,6.223539380289367,-0.5034856423843884
SUR-02342279-24,2024-12-19,9,2,0,8_9,9.572884312638314,9.572884312638314,8,9,999466.0892263498,1009430.336335995,0,1,1,control,9.572884312638314,2.358292639917929,0.0095728843126383
SUR-02039274-24,2024-11-06,9,2,0,9_10,444.09418335395054,444.09418335395054,10,9,999526.3581362412,1009776.6156138424,0,1,1,control,444.09418335395054,6.09828590775837,0.4440941833539505
SUR-00971661-24,2024-05-31,9,2,0,5_9,1140.7051150615289,1140.7051150615289,5,9,999598.2386949292,1010075.4898636836,0,1,1,control,1140.7051150615289,7.040278138887301,1.1407051150615288
SUR-01007185-24,2024-06-04,9,2,0,8_9,595.2455179610849,595.2455179610849,8,9,999530.4160774802,1010226.5227202649,0,1,1,control,595.2455179610849,6.3906525251279,0.5952455179610849
SUR-01190369-24,2024-07-03,9,2,1,9_10,159.17477815278434,-159.17477815278434,9,10,999556.2669180102,1010354.20572522,0,1,1,treated,159.17477815278434,5.076265582493905,-0.1591747781527843
SUR-01190414-24,2024-07-03,9,2,1,9_10,159.17477815278434,-159.17477815278434,9,10,999556.2669180102,1010354.20572522,0,1,1,treated,159.17477815278434,5.076265582493905,-0.1591747781527843
SUR-02357077-24,2024-12-21,9,2,0,9_10,159.17477815278434,159.17477815278434,10,9,999556.2669180102,1010354.20572522,0,1,1,control,159.17477815278434,5.076265582493905,0.1591747781527843
SUR-00247161-25,2025-02-10,9,2,0,9_10,124.35715770077609,124.35715770077609,10,9,999691.1670748488,1010143.5834335296,0,1,1,control,124.35715770077609,4.83116692469545,0.124357157700776
SUR-00425542-25,2025-03-09,9,2,0,9_10,176.1605275440367,176.1605275440367,10,9,999554.8765655296,1010326.5757899304,0,1,1,control,176.1605275440367,5.177056256833566,0.1761605275440367
SUR-00633827-25,2025-04-08,9,2,0,5_9,899.3895586428494,899.3895586428494,5,9,999554.8765655296,1010326.5757899304,0,1,1,control,899.3895586428494,6.802827512611329,0.8993895586428493
SUR-00648474-24,2024-04-12,9,2,1,8_9,101.52880556388266,-101.52880556388266,9,8,999749.4188318646,1009769.963087926,0,1,1,treated,101.52880556388266,4.630143788988498,-0.1015288055638826
SUR-01198743-24,2024-07-05,9,2,0,9_10,266.6253988080175,266.6253988080175,10,9,999749.4188318646,1009769.963087926,0,1,1,control,266.6253988080175,5.589588237083487,0.2666253988080175
SUR-01119728-24,2024-06-22,9,2,0,8_9,104.94850057152324,104.94850057152324,8,9,999773.41962557,1009793.4284473975,0,1,1,control,104.94850057152324,4.662953132386918,0.1049485005715232
